Year,Value
1899,7.9
1900,7.71
1901,7.9
1902,8.66
1903,8.28
1904,8.47
1905,8.47
1906,8.85
1907,8.66
1908,8.94
1909,9.9
1910,9.23
1911,9.13
1912,9.8
1913,10
1914,10.1
1915,10.4
1916,11.7
1917,14
1918,16.5
1919,19.3
1920,19
1921,16.9
1922,16.8
1923,17.3
1924,17.3
1925,17.9
1926,17.5
1927,17.3
1928,17.1
1929,17.1
1930,15.9
1931,14.3
1932,12.9
1933,13.2
1934,13.6
1935,13.8
1936,14.1
1937,14.2
1938,14
1939,13.9
1940,14.1
1941,15.7
1942,16.9
1943,17.4
1944,17.8
1945,18.2
1946,21.5
1947,23.7
1948,24
1949,23.5
1950,25.4
1951,26.5
1952,26.6
1953,26.9
1954,26.7
1955,26.8
1956,27.6
1957,28.6
1958,29
1959,29.3
1960,29.8
1961,30
1962,30.4
1963,30.9
1964,31.2
1965,31.8
1966,32.9
1967,34.1
1968,35.6
1969,37.8
1970,39.8
1971,41.1
1972,42.6
1973,46.6
1974,52.1
1975,55.6
1976,58.5
1977,62.5
1978,68.3
1979,77.8
1980,87
1981,94.3
1982,97.8
1983,101.9
1984,105.5
1985,109.6
1986,111.2
1987,115.7
1988,121.1
1989,127.4
1990,134.6
1991,138.1
1992,142.6
1993,146.2
1994,150.3
1995,154.4
1996,159.1
1997,161.6
1998,164.3
1999,168.8
2000,175.1
2001,177.1
2002,181.7
2003,185.2
2004,190.7
2005,198.3
2006,202.42
2007,211.08
2008,211.14
2009,216.69
2010,220.22
2011,226.66
2012,230.28
2013,233.92
2014,233.71
2015,236.92
2016,242.84
2017,247.87
2018,251.71
2019,257.97
2020,261.58
2021,281.15
2022,296.81
