Year,Value
1899,229.18
1900,272.17
1901,305.07
1902,289.95
1903,239.45
1904,295.41
1905,345.87
1906,320.62
1907,234.77
1908,300.79
1909,302.20
1910,298.09
1911,296.48
1912,281.66
1913,248.43
1914,219.81
1915,266.27
1916,242.77
1917,152.86
1918,141.21
1919,135.79
1920,111.07
1921,128.21
1922,157.24
1923,151.49
1924,181.52
1925,209.76
1926,227.27
1927,300.75
1928,431.50
1929,376.82
1930,298.30
1931,172.27
1932,163.13
1933,237.00
1934,202.09
1935,295.95
1936,370.27
1937,236.40
1938,265.01
1939,262.64
1940,222.08
1941,168.82
1942,177.21
1943,202.14
1944,224.94
1945,293.87
1946,209.97
1947,185.72
1948,189.96
1949,213.20
1950,247.85
1951,270.94
1952,292.12
1953,280.92
1954,395.74
1955,488.96
1956,488.55
1957,426.74
1958,569.26
1959,587.84
1960,594.81
1961,683.35
1962,635.21
1963,734.34
1964,819.27
1965,871.01
1966,761.87
1967,827.23
1968,850.40
1969,709.12
1970,697.20
1971,745.99
1972,824.93
1973,612.15
1974,413.37
1975,517.07
1976,526.64
1977,428.59
1978,433.30
1979,423.08
1980,453.74
1981,369.20
1982,437.93
1983,484.68
1984,482.77
1985,563.83
1986,705.99
1987,642.61
1988,699.50
1989,792.04
1990,717.74
1991,894.25
1992,905.89
1993,960.24
1994,918.76
1995,1181.12
1996,1429.42
1997,1769.39
1998,2255.90
1999,2506.67
2000,2264.00
2001,1910.92
2002,1463.36
2003,1815.02
2004,1838.76
2005,1913.96
2006,2088.28
2007,1938.73
2008,1216.76
2009,1539.03
2010,1728.67
2011,1703.05
2012,1908.09
2013,2312.33
2014,2575.79
2015,2403.62
2016,2780.75
2017,3340.64
2018,3074.52
2019,3771.73
2020,4304.63
2021,4828.58
2022,3695.16
